czas,masa
0.71,34.01
0.76,36.47
0.81,38.98
0.86,41.2
0.91,43.55
0.96,46.06
1.01,48.56
1.06,51.01
1.11,53.16
1.16,55.58
1.21,58.0
1.26,60.63
1.31,63.05
1.36,65.3
1.41,67.67
1.46,69.97
1.51,72.43
1.56,74.78
1.61,76.96
1.66,79.19
1.71,81.42
1.76,83.87
1.81,86.08
1.86,88.05
1.91,90.17
1.96,92.41
2.01,94.58
2.06,96.67
2.11,98.58
2.16,100.55
2.21,102.57
2.26,104.28
2.31,106.26
2.36,108.14
2.41,109.74
2.46,111.29
2.51,113.13
2.55,114.58
